noun,translation
ãctas,vinegar
ãdresas,address
agrãstas,gooseberry
aguõna,poppy
agur̃kas,cucumber
aikštė̃,square
aikštẽlė,playground
akìs,eye
akmuõ,stone
ãktorius,actor
algà,salary
aliẽjus,vegetable oil
alkū́nė,elbow
alùs,beer
ámpulė,ampule
añtakis,eyebrow
ántis,duck
añtklodė,blanket
anū̃kas,grandson
anū̃kė,granddaughter
aparãtas,apparatus
apelsìnas,orange
ãplankas,folder
apýrankė,wristband
arbatà,tea
kárvė,cow
ąsõtis,pitcher
atlýginimas,salary
atvirùkas,postcard
audrà,storm
áuksas,gold
aũkštis,height
ausìs,ear
aũskaras,earring
ãvalynė,footwear
aviẽtė,raspberry
ãvinas,mutton
avìs,sheep
bagãžas,luggage
balà,puddle
balañdis,April
balètas,ballet
balkònas,balcony
banãnas,banana
bandẽlė,bun
banknòtas,banknote
párkeris,pen
bãtas,shoe
batẽlis,shoe
batònas,loaf
baudà,fine
bazìlikas,basil
tvárstis,bandage
tvártas,barn
berniùkas,boy
bìlietas,ticket
biržẽlis,June
blakstíena,eyelash
bloknòtas,notepad
brãškė,strawberry
brólis,brother
būdà,dog house
bùlvė,potato
burnà,mouth
burõkas,beet
burokė̃lis,beet
bùtas,apartment
bùtelis,bottle
ceñtas,cent
česnãkas,garlic
chirùrgas,surgeon
chòras,choir
cinamònas,cinnamon
citrinà,lemon
čiuožyklà,ice rink
cùkrus,sugar
dailė̃,art
daininiñkas,singer
dalìs,part
dalỹvis,participant
dangùs,sky
dantìs,tooth
darbúotojas,employee
bedar̃bis,unemployed
daržẽlis,garden
daržóvė,vegetable
debesìs,cloud
dė̃dė,uncle
degtìnė,vodka
délnas,palm
dešinė̃,right side
dešrà,sausage
dešrẽlė,sausage
dė́stytojas,lecturer
dėžùtė,box
dienà,day
dirèktorius,director
dirigeñtas,conductor
dir̃žas,belt
dokumeñtas,document
dovanà,gift
drabùžis,cloth
draudìmas,insurance
draũgas,friend
druskà,salt
dúona,bread
dùšas,shower
dvìratis,bicycle
dvynỹs,twin
dỹdis,size
džiaũgsmas,joy
ẽglė,spruce
eilė̃,queue
eilė́raštis,poem
elektrà,electricity
érkė,tick
eũras,euro
ẽžeras,lake
ežiùkas,hedgehog
figūrà,figure
fòtelis,armchair
fùtbolas,football
gabalė̃lis,piece
gabaliùkas,piece
gaidỹs,cock
galvà,head
gamtà,nature
garãžas,garage
garstýčia,mustard
gãtvė,street
gėlė̃,flower
gėlýnas,lawn
gė́rimas,drink
gerklė̃,throat
gimtãdienis,birthday
giñtaras,amber
grãfika,graphics
grandinė̃lė,chain
grąžà,change
griaustìnis,thunder
grietìnė,sour cream
grietinė̃lė,cream
grìpas,influenza
grúodis,December
grùpė,group
gýdytojas,doctor
gyvū̃nas,animal
hìmnas,hymn
il̃gis,length
iñdas,dishes
ìnkstas,kidney
įpakãvimas,packing
į́rankis,tool
išsilãvinimas,education
ìšvaizda,appearance
ìšvyka,trip
jachtà,yacht
jáutiena,beef meat
jáutis,Taurus
jogùrtas,yoghurt
jubiliẽjus,jubilee
jū́ra,sea
kabinètas,cabinet
kabyklà,hanger
káilis,fur coat
káimas,village
kairė̃,left side
kaklãraištis,necktie
kãklas,neck
kaktà,forehead
kalakùtas,turkey
kalendõrius,calendar
kálnas,mountain
kalvà,hill
kambarỹs,room
kãminas,chimney
kamuoliùkas,ball
kamuolỹs,ball
kantrýbė,patience
kãpas,tomb
bendradar̃bis,colleague
kasà,cashier
katė̃,cat
kãtinas,cat
káukė,mask
kavà,coffee
kėdė̃,chair
keleĩvis,passenger
kẽlias,road
keliõnė,trip
kẽlis,several
kéltas,ferry
kẽpalas,loaf
keptùvė,pan
kepùrė,hat
kiaũlė,pig
kiaulíena,pork
kiaušìnis,egg
kìbiras,bucket
kiẽmas,yard
kìlimas,carpet
kilimė̃lis,mat
kìnas,film
kirpė́jas,hairdresser
kišẽnė,pocket
klìnika,clinic
kója,foot
kójinė,sock
kokakolà,coca cola
komandiruõtė,business trip
kompiùteris,computer
koncèrtas,concert
konfereñcija,conference
kòpija,copy
kopū̃stas,cabbage
kortà,card
kostiùmas,costume
kostiumė̃lis,costume
kosulỹs,cough
kóvas,March
krañtas,bank
krãpas,dill
kraũjas,blood
krèmas,cream
krepšìnis,basketball
krepšỹs,bag
kriauklė̃,sink
kriáušė,pear
kriẽnas,horseradish
krū́mas,bush
krūtìnė,chest
kryptìs,direction
kū́nas,body
kuprìnė,backpack
kùrsas,course
lagamìnas,suitcase
laĩkas,time
laĩkrodis,clock
láimė,happiness
láipsnis,degree
láiptinė,stairs
láiškas,letter
laisvãlaikis,leisure
laĩvas,ship
lángas,window
lapẽlis,leaf
lãpkritis,November
lãšas,drop
láužas,bonfire
lẽdas,ice
lėkštùtė,saucer
lėktùvas,aeroplane
lémpa,lamp
lentýna,shelf
liemẽnė,vest
liemenė̃lė,vest
líepa,July
lietùs,rain
lìftas,elevator
ligà,disease
ligóninė,hospital
ligónis,patient
liniuõtė,ruler
linkė́jimas,wish
liū̃tas,lion
lóva,bed
lovýtė,bed
lū́pa,lip
lygumà,plain
maišẽlis,bag
maĩstas,food
margùtis,Easter egg
mẽdis,tree
medùs,honey
mẽdvilnė,cotton
mẽdžiaga,material
méilė,love
mė́nuo,month
mergáitė,girl
mergẽlė,Virgo
merginà,girl
meškerė̃,fishing rod
mẽtas,time
mètras,meter
miẽgmaišis,sleeping bag
miẽstas,city
minùtė,minute
mìškas,forest
močiùtė,grandmother
mókestis,tax
mókytojas,teacher
moliū̃gas,pumpkin
monetà,coin
morkà,carrot
móteris,woman
mótina,mother
motocìklas,motorbike
mùsė,fly
mùsmirė,fly-agaric
muzikántas,musician
nãmas,house
nósinė,handkerchief
nósis,nose
nùgara,back
núolaida,discount
núotaka,bride
obelìs,apple tree
obuolỹs,apple
óda,skin
òpera,opera
óras,air
òrganas,organ
órkaitė,oven
orkèstras,orchestra
ožiarãgis,Capricorn
ožkà,goat
ožỹs,goat
pacieñtas,patient
pačiū́ža,skate
padavė́jas,waiter
pãdažas,sauce
pagálvė,pillow
pajū́ris,seashore
pakẽlis,pack
paklõdė,sheet
palángė,windowsill
palapìnė,tent
palatà,chamber
páltas,coat
paplūdimỹs,beach
parà,day
pãrašas,signature
pardavė́ja,saleswoman
arklỹs,horse
parodà,exhibition
pãsas,passport
pãstatas,building
patogùmas,convenience
paũkštis,bird
pavadìnimas,name
pavadúotojas,deputy
pavardė̃,last name
pavéikslas,painting
pažymà,certificate
pėdà,foot
peĩlis,blade
pelė̃,mouse
perkū́nija,thunderstorm
pértrauka,break
petrãžolė,parsley
petỹs,shoulder
píenas,milk
pieštùkas,pencil
píeva,meadow
pil̃vas,belly
pìnigas,money
pinigìnė,wallet
pir̃štas,finger
pir̃štinė,glove
pižamà,pajamas
plãnas,plan
pláukas,hair
plaũtis,lung
pléistras,patch
pliãžas,beach
plótas,area
plõtis,width
póilsis,rest
polìcininkas,policeman
poliklìnika,polyclinic
pómėgis,hobby
pomidòras,tomato
põpierius,paper
pòrtfelis,briefcase
pósėdis,meeting
prãšymas,request
príeškambaris,hallway
príeskonis,flavoring
próga,opportunity
psichiãtras,psychiatrist
pūgà,snowstorm
púodas,pot
puodẽlis,cup
puodùkas,cup
pupẽlė,bean
pùsbrolis,cousin
pùsė,half
pùsseserė,cousin
pyragáitis,pastry
pyrãgas,cake
rãktas,key
rankà,arm
rankinùkas,handbag
rañkšluostis,towel
recèptas,recipe
registratūrà,reception
riekė̃,slice
ríešutas,walnut
rugpjū́tis,August
rugsė́jis,September
rū̃kas,fog
rūsỹs,basement
sagė̃,brooch
šakà,branch
šakùtė,fork
salà,island
šaldytùvas,refrigerator
sãlė,hall
saliẽras,celery
šãlikas,scarf
šal̃tis,frost
šampãnas,champagne
są́siuvinis,notebook
są́skaita,account
šáukštas,spoon
šaukštẽlis,spoon
sáulė,sun
saulė́grąža,sunflower
šaulỹs,Sagittarius
sausaĩnis,biscuit
saũsis,January
saváitė,week
sąvaržė̃lė,paper clip
segtùvas,binder
sėkmė̃,success
sekretõrė,secretory
seminãras,seminar
senẽlis,grandfather
šepetỹs,brush
serbeñtas,currant
šiáurė,north
sidãbras,silver
síena,wall
sijõnas,skirt
šìldymas,heating
šil̃kas,silk
šilumà,heat
sintètika,synthetics
širdìs,heart
siuntinỹs,parcel
skarẽlė,head scarf
skaũsmas,pain
skė̃tis,umbrella
skiẽpas,vaccination
skolà,debt
skorpiònas,Scorpius
skrañdis,stomach
skrybėlė̃,hat
skùduras,rag
skùlptorius,sculptor
skulptūrà,sculpture
skỹrius,chapter
slaũgė,nurse
slìdė,ski
slogà,runny nose
šluõstė,rag
šlúota,broom
slyvà,plum
smãkras,forehead
smeigtùkas,pushpin
sniẽgas,snow
sõdas,garden
sodýba,estate
sofà,sofa
spãlis,October
spalvà,color
spektãklis,performance
spìnta,wardrobe
spintẽlė,locker
spòrtas,sport
spòrtininkas,athlete
stadiònas,stadium
stãlas,table
stálčius,drawer
stiklaĩnis,glass jar
stiklìnė,glass
stógas,roof
striùkė,jacket
studeñtas,student
šukúosena,haircut
šulinỹs,well
sūnùs,son
suoliùkas,bench
sū́ris,cheese
susirinkìmas,meeting
susitikìmas,meeting
sutartìs,contract
varškė̃,cottage cheese
sveikatà,health
svéikinimas,greeting
šveñtė,holiday
svetaĩnė,living room
svíestas,butter
šviestùvas,lamp
svogū̃nas,onion
svõris,weight
tablètė,pill
tãkas,path
tapýba,painting
tapýtojas,painter
taurė̃,wineglass
teãtras,theatre
telefònas,phone
temperatūrà,temperature
tènisas,teniss
tẽpalas,ointment
termomètras,thermometer
tetà,aunt
tė́vas,father
tinklìnis,volleyball
tòrtas,cake
tradìcija,tradition
transpòrtas,transport
traukinỹs,train
trintùkas,eraser
tualètas,toilet
turìstas,tourist
tušinùkas,pen
barzdà,beard
dar̃žas,vegetable garden
tvenkinỹs,pond
tvorà,fence
tyrìmas,study
ū̃gis,height
úodas,mosquito
úoga,berry
uogiẽnė,jam
ùpė,river
ū̃sas,moustache
uždegìmas,inflammation
užtrauktùkas,zipper
užúolaida,curtain
vaidmuõ,role
vaĩkas,child
vaikìnas,guy
vainìkas,wreath
vairúotojas,driver
vaĩsius,fruit
váistas,medicine
vaivórykštė,rainbow
vãkaras,evening
vakarė̃lis,party
valandà,hour
valiutà,currencỳ
váltis,boat
vandẽnis,ocean
vanduõ,water
vanìlė,vanilla
švar̃kas,jacket
var̃das,name
vasãris,February
vedė́jas,chief
véidas,face
véidrodis,mirror
vejà,lawn
vė́jas,wind
vė̃liava,flag
vėžỹs,tortoise
vidùrdienis,noon
vidùrnaktis,midnight
viẽšbutis,hotel
vietà,place
vìlna,wave
virdulỹs,kettle
vir̃šininkas,chief
virtùvė,kitchen
virỹklė,stove
vištà,chicken
vištíena,chicken
vizà,visa
vókas,envelope
vonià,bathroom
vorãtinklis,spiderweb
vỹnas,wine
vỹnuogė,grape
výras,man
vyšnià,cherry
žaĩbas,lightning
žaĩslas,toy
žaizdà,wound
žąsìs,goose
žemė́lapis,map
žénklas,sign
žíedas,ring
žìrgas,horse
žìrnis,pea
žiūrõvas,spectator
žmonà,wife
žõdis,word
žolė̃,grass
žuvìs,fish
žvãkė,candle
žỹgis,hike
